Country Code,Date,City,Latitude,Longitude,Max Temp,Humidity,Cloud Cover,Wind Speed
UY,1554338382,Chuy,-33.69,-53.46,290.95,12,12,2.56
CA,1554338430,Flin Flon,54.77,-101.88,269.05,0,0,1.26
SL,1554338430,Daru,7.99,-10.85,296.3,80,80,1.76
GH,1554338376,Axim,4.87,-2.24,301.7,12,12,5.26
US,1554338140,Albany,42.65,-73.75,280.15,20,20,8.2
AR,1554336000,Comodoro Rivadavia,-45.87,-67.48,289.15,0,0,4.6
CK,1554336000,Avarua,-21.21,-159.78,301.15,80,80,3.6
ET,1554338433,Lebu,8.96,38.73,283.9,92,92,1.46
ZA,1554338373,Carnarvon,-30.97,22.13,282.6,0,0,1.61
BW,1554338433,Dekar,-21.53,21.93,291.35,0,0,1.91
CL,1554337950,Punta Arenas,-53.16,-70.91,278.15,75,75,5.7
TL,1554338435,Airai,-8.93,125.41,296.5,80,80,0.51
ZA,1554338436,East London,-33.02,27.91,296.95,36,36,10.46
IN,1554336000,Vaini,15.34,74.49,295.15,20,20,1.11
EC,1554336000,Puerto Ayora,-0.74,-90.35,302.15,75,75,4.6
PF,1554338331,Rikitea,-23.12,-134.97,297.2,20,20,8.51
US,1554338319,Kodiak,39.95,-94.76,288.15,1,1,4.6
US,1554338160,Hilo,19.71,-155.08,300.37,20,20,5.7
GA,1554338440,Port-Gentil,-0.72,8.78,301.6,24,24,3.46
FI,1554338226,Sola,62.78,29.36,272.59,0,0,2.1
AU,1554338328,Jamestown,-33.21,138.6,295.7,0,0,3.46
IN,1554336000,Kattivakkam,13.22,80.32,299.15,20,20,1.5
AU,1554338407,Busselton,-33.64,115.35,292.04,8,8,8.61
US,1554338310,Kapaa,22.08,-159.32,299.15,20,20,5.1
PF,1554338326,Atuona,-9.8,-139.03,300.85,0,0,6.26
AR,1554338335,Mar del Plata,-46.43,-67.52,289.8,68,68,6.01
CA,1554338211,Sussex,45.72,-65.51,274.82,90,90,8.7
CA,1554338336,Saint-Philippe,45.36,-73.48,277.15,20,20,8.7
AR,1554338445,Barrow,-38.31,-60.23,291.5,0,0,5.81
AU,1554337881,New Norfolk,-42.78,147.06,288.15,20,20,4.6
ZA,1554338446,Upington,-28.46,21.24,292.0,0,0,3.56
ZA,1554337842,Hermanus,-34.42,19.24,287.59,48,48,2.68
AU,1554337881,Hobart,-42.88,147.33,288.15,20,20,4.6
ZA,1554338178,Cape Town,-33.93,18.42,288.15,20,20,2.6
AU,1554338325,Bluff,-23.58,149.07,299.0,0,0,6.56
US,1554338154,Avera,33.19,-82.53,292.15,1,1,1.81
IN,1554338451,Dhandhuka,22.38,71.98,296.95,8,8,3.31
TR,1554337200,Nevsehir,38.62,34.71,273.15,0,0,1.31
ML,1554338452,Timbuktu,16.77,-3.01,300.35,48,48,1.31
CN,1554338399,Genhe,50.78,121.52,269.1,80,80,4.66
AR,1554332400,Ushuaia,-54.81,-68.31,278.15,75,75,14.9
TH,1554336000,Ranong,9.96,98.62,298.15,20,20,2.56
ZA,1554336000,Bredasdorp,-34.53,20.04,287.15,64,64,2.6
MX,1554338454,Dzilam Gonzalez,21.28,-88.93,302.6,44,44,1.96
NZ,1554338407,Mataura,-46.19,168.86,284.26,100,100,3.58
RU,1554338455,Omsukchan,62.53,155.8,269.7,88,88,2.66
US,1554337846,Hays,38.88,-99.33,291.15,75,75,7.7
BR,1554338456,Touros,-5.2,-35.46,300.5,88,88,3.11
RU,1554338456,Povenets,62.85,34.83,269.85,0,0,3.81
BR,1554338287,Vila Velha,-3.71,-38.6,299.82,75,75,3.1
CL,1554338433,Tocopilla,-22.09,-70.2,289.55,0,0,1.51
RU,1554338370,Lavrentiya,65.58,-170.99,269.25,48,48,7.41
ID,1554338458,Japura,-0.42,102.29,297.25,92,92,1.21
RU,1554338380,Khatanga,71.98,102.47,264.85,88,88,4.46
CA,1554336000,Tuktoyaktuk,69.44,-133.03,256.15,75,75,4.6
RU,1554338460,Tiksi,71.64,128.87,270.9,76,76,4.66
GF,1554336000,Cayenne,4.94,-52.33,300.15,90,90,4.1
CM,1554338462,Guider,9.93,13.94,297.0,0,0,3.01
CA,1554338175,Yellowknife,62.45,-114.38,260.15,20,20,4.1
FO,1554335400,Klaksvik,62.23,-6.59,275.15,88,88,4.1
CA,1554337826,Saint-Georges,46.12,-70.67,276.48,88,88,0.89
CN,1554338464,Hami,42.84,93.51,279.75,0,0,0.81
GN,1554338464,Macenta,8.55,-9.47,294.85,64,64,1.06
AU,1554338344,Codrington,-28.95,153.24,298.71,40,40,4.1
KM,1554338408,Mitsamiouli,-11.38,43.28,300.7,0,0,4.01
CA,1554338385,Pangnirtung,66.15,-65.72,253.0,12,12,1.71
RU,1554338466,Dikson,73.51,80.55,267.5,80,80,7.71
US,1554338441,Aberdeen,45.47,-98.49,278.15,1,1,5.7
US,1554338344,Vardo,39.62,-77.74,288.15,1,1,4.1
NA,1554336129,Walvis Bay,-22.95,14.51,288.15,0,0,5.1
GL,1554335400,Ilulissat,69.22,-51.1,265.15,68,68,6.7
US,1554338225,Sheridan,39.65,-105.03,289.26,75,75,7.2
BR,1554336000,Arraial do Cabo,-22.97,-42.02,295.15,20,20,1.5
GL,1554338472,Qaqortoq,60.72,-46.03,273.25,8,8,5.91
PG,1554338472,Lorengau,-2.02,147.27,301.2,32,32,3.51
US,1554337870,Sitka,37.17,-99.65,289.26,76,76,3.58
RU,1554338473,Talnakh,69.49,88.39,265.25,80,80,2.36
ID,1554338473,Sijunjung,-0.69,100.95,294.2,32,32,1.06
US,1554338288,Marshall,39.39,-87.69,288.15,75,75,2.6
CA,1554336000,Thompson,55.74,-97.86,266.15,20,20,1.56
NA,1554338438,Luderitz,-26.65,15.16,286.6,8,8,5.21
AU,1554338226,Flinders,-34.58,150.85,294.82,75,75,4.1
AR,1554336000,Russell,-33.01,-68.8,297.15,0,0,2.1
PH,1554337941,Ternate,14.29,120.72,303.15,20,20,2.1
SO,1554338478,Eyl,7.98,49.82,297.0,0,0,1.86
MG,1554338479,Sambava,-14.27,50.17,300.85,88,88,5.41
BR,1554336000,Pitimbu,-7.47,-34.81,299.15,75,75,3.6
SE,1554337971,Visby,57.64,18.3,279.82,20,20,5.1
RU,1554338481,Ous,60.91,61.52,265.8,0,0,1.41
CL,1554336000,Castro,-42.48,-73.76,283.15,75,75,3.1
PT,1554338482,Ribeira Grande,38.52,-28.7,288.0,88,88,7.86
CA,1554336000,Geraldton,49.72,-86.95,268.15,75,75,3.6
ZA,1554338229,Port Alfred,-33.59,26.89,289.82,0,0,2.76
OM,1554335400,Salalah,17.01,54.1,297.15,0,0,1.0
BR,1554336000,Natal,-5.81,-35.21,298.15,75,75,6.2
ES,1554338472,Carballo,43.21,-8.69,282.59,92,92,2.6
